# Summary: Whole-Script Confusables
# File: confusablesWholeScript.txt
# Version: 2.1
# Generated: 2010-04-13, 01:33:25 GMT
# Checkin: $Revision: 1.29 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# This data is used for determining whether a strings is a
# whole-script or mixed-script confusable.
# The mappings here ignore common and inherited script characters,
# such as accents.

# Lowercase Only

# Arabic; Latin: [ةۃ]

0629          ; Arab; Latn; L #      (ة)  ARABIC LETTER TEH MARBUTA
0D02          ; Mlym; Grek; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D20          ; Mlym; Grek; L #      (ഠ)  MALAYALAM LETTER TTHA
0D66          ; Mlym; Grek; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 3

# Malayalam; Gujarati: [ം൦]

0D02          ; Mlym; Gujr; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D66          ; Mlym; Gujr; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 2

# Malayalam; Gurmukhi: [ംഃ൦]

0D02..0D03    ; Mlym; Guru; L #  [2] (ം..ഃ)  MALAYALAM SIGN ANUSVARA..MALAYALAM SIGN VISARGA
0D66          ; Mlym; Guru; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 3

# Malayalam; Han: [ഠ]

0D20          ; Mlym; Hani; L #      (ഠ)  MALAYALAM LETTER TTHA

# Total code points: 1

# Malayalam; Hebrew: [ം൦]

0D02          ; Mlym; Hebr; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D66          ; Mlym; Hebr; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 2

# Malayalam; Kannada: [ംഃ൦]

0D02..0D03    ; Mlym; Knda; L #  [2] (ം..ഃ)  MALAYALAM SIGN ANUSVARA..MALAYALAM SIGN VISARGA
0D66          ; Mlym; Knda; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 3

# Malayalam; Lao: [ം൦]

0D02          ; Mlym; Laoo; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D66          ; Mlym; Laoo; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 2

# Malayalam; Latin: [ം൦]

0D02          ; Mlym; Latn; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D66          ; Mlym; Latn; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 2

# Malayalam; Myanmar: [ംഃ൦]

0D02..0D03    ; Mlym; Mymr; L #  [2] (ം..ഃ)  MALAYALAM SIGN ANUSVARA..MALAYALAM SIGN VISARGA
0D66          ; Mlym; Mymr; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 3

# Malayalam; Oriya: [ഠ]

0D20          ; Mlym; Orya; L #      (ഠ)  MALAYALAM LETTER TTHA

# Total code points: 1

# Malayalam; Sinhala: [ംഃന്൦]

0D02..0D03    ; Mlym; Sinh; L #  [2] (ം..ഃ)  MALAYALAM SIGN ANUSVARA..MALAYALAM SIGN VISARGA
0D28          ; Mlym; Sinh; L #      (ന)  MALAYALAM LETTER NA
0D4D          ; Mlym; Sinh; L #      (്)  MALAYALAM SIGN VIRAMA
0D66          ; Mlym; Sinh; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 5

# Malayalam; Tamil: [ംഉജണഴശിീ൦]

0D02          ; Mlym; Taml; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D09          ; Mlym; Taml; L #      (ഉ)  MALAYALAM LETTER U
0D1C          ; Mlym; Taml; L #      (ജ)  MALAYALAM LETTER JA
0D23          ; Mlym; Taml; L #      (ണ)  MALAYALAM LETTER NNA
0D34          ; Mlym; Taml; L #      (ഴ)  MALAYALAM LETTER LLLA
0D36          ; Mlym; Taml; L #      (ശ)  MALAYALAM LETTER SHA
0D3F..0D40    ; Mlym; Taml; L #  [2] (ി..ീ)  MALAYALAM VOWEL SIGN I..MALAYALAM VOWEL SIGN II
0D66          ; Mlym; Taml; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 9

# Malayalam; Telugu: [ംഃ൦]

0D02..0D03    ; Mlym; Telu; L #  [2] (ം..ഃ)  MALAYALAM SIGN ANUSVARA..MALAYALAM SIGN VISARGA
0D66          ; Mlym; Telu; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 3

# Malayalam; Thai: [ം൦]

0D02          ; Mlym; Thai; L #      (ം)  MALAYALAM SIGN ANUSVARA
0D66          ; Mlym; Thai; L #      (൦)  MALAYALAM DIGIT ZERO

# Total code points: 2

# Malayalam; Tifinagh: [ഠ]

0D20          ; Mlym; Tfng; L #      (ഠ)  MALAYALAM LETTER TTHA

# Total code points: 1

# Myanmar; Armenian: [ဝ၀]

101D          ; Mymr; Armn; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Armn; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Bengali: [း]

1038          ; Mymr; Beng; L #      (း)  MYANMAR SIGN VISARGA

# Total code points: 1

# Myanmar; Cyrillic: [ဝ၀]

101D          ; Mymr; Cyrl; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Cyrl; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Devanagari: [ဝ၀]

101D          ; Mymr; Deva; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Deva; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Greek: [ဝ၀]

101D          ; Mymr; Grek; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Grek; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Gujarati: [ဝ၀]

101D          ; Mymr; Gujr; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Gujr; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Gurmukhi: [ဝး၀]

101D          ; Mymr; Guru; L #      (ဝ)  MYANMAR LETTER WA
1038          ; Mymr; Guru; L #      (း)  MYANMAR SIGN VISARGA
1040          ; Mymr; Guru; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 3

# Myanmar; Hebrew: [ဝ၀]

101D          ; Mymr; Hebr; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Hebr; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Kannada: [ဝး၀]

101D          ; Mymr; Knda; L #      (ဝ)  MYANMAR LETTER WA
1038          ; Mymr; Knda; L #      (း)  MYANMAR SIGN VISARGA
1040          ; Mymr; Knda; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 3

# Myanmar; Khmer: [ံ]

1036          ; Mymr; Khmr; L #      (ံ)  MYANMAR SIGN ANUSVARA

# Total code points: 1

# Myanmar; Lao: [ဝံ၀]

101D          ; Mymr; Laoo; L #      (ဝ)  MYANMAR LETTER WA
1036          ; Mymr; Laoo; L #      (ံ)  MYANMAR SIGN ANUSVARA
1040          ; Mymr; Laoo; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 3

# Myanmar; Latin: [ဝ၀]

101D          ; Mymr; Latn; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Latn; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Malayalam: [ဝး၀]

101D          ; Mymr; Mlym; L #      (ဝ)  MYANMAR LETTER WA
1038          ; Mymr; Mlym; L #      (း)  MYANMAR SIGN VISARGA
1040          ; Mymr; Mlym; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 3

# Myanmar; Sinhala: [ဝး၀]

101D          ; Mymr; Sinh; L #      (ဝ)  MYANMAR LETTER WA
1038          ; Mymr; Sinh; L #      (း)  MYANMAR SIGN VISARGA
1040          ; Mymr; Sinh; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 3

# Myanmar; Tamil: [ဝံ၀]

101D          ; Mymr; Taml; L #      (ဝ)  MYANMAR LETTER WA
1036          ; Mymr; Taml; L #      (ံ)  MYANMAR SIGN ANUSVARA
1040          ; Mymr; Taml; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 3

# Myanmar; Telugu: [ဝး၀]

101D          ; Mymr; Telu; L #      (ဝ)  MYANMAR LETTER WA
1038          ; Mymr; Telu; L #      (း)  MYANMAR SIGN VISARGA
1040          ; Mymr; Telu; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 3

# Myanmar; Thai: [ဝံ၀]

101D          ; Mymr; Thai; L #      (ဝ)  MYANMAR LETTER WA
1036          ; Mymr; Thai; L #      (ံ)  MYANMAR SIGN ANUSVARA
1040          ; Mymr; Thai; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 3

# Oriya; Bengali: [ଁଃଠ଼୦୨]

0B01          ; Orya; Beng; L #      (ଁ)  ORIYA SIGN CANDRABINDU
0B03          ; Orya; Beng; L #      (ଃ)  ORIYA SIGN VISARGA
0B20          ; Orya; Beng; L #      (ଠ)  ORIYA LETTER TTHA
0B3C          ; Orya; Beng; L #      (଼)  ORIYA SIGN NUKTA
0B66          ; Orya; Beng; L #      (୦)  ORIYA DIGIT ZERO
0B68          ; Orya; Beng; L #      (୨)  ORIYA DIGIT TWO

# Total code points: 6

# Oriya; Devanagari: [ଁ଼]

0B01          ; Orya; Deva; L #      (ଁ)  ORIYA SIGN CANDRABINDU
0B3C          ; Orya; Deva; L #      (଼)  ORIYA SIGN NUKTA

# Total code points: 2

# Oriya; Greek: [ଠ୦]

0B20          ; Orya; Grek; L #      (ଠ)  ORIYA LETTER TTHA
0B66          ; Orya; Grek; L #      (୦)  ORIYA DIGIT ZERO

# Total code points: 2

# Oriya; Gujarati: [ଁ଼]

0B01          ; Orya; Gujr; L #      (ଁ)  ORIYA SIGN CANDRABINDU
0B3C          ; Orya; Gujr; L #      (଼)  ORIYA SIGN NUKTA

# Total code points: 2

# Oriya; Gurmukhi: [ଃ଼୨]

0B03          ; Orya; Guru; L #      (ଃ)  ORIYA SIGN VISARGA
0B3C          ; Orya; Guru; L #      (଼)  ORIYA SIGN NUKTA
0B68          ; Orya; Guru; L #      (୨)  ORIYA DIGIT TWO

# Total code points: 3

# Oriya; Han: [ଠ୦]

0B20          ; Orya; Hani; L #      (ଠ)  ORIYA LETTER TTHA
0B66          ; Orya; Hani; L #      (୦)  ORIYA DIGIT ZERO

# Total code points: 2

# Oriya; Malayalam: [ଠ୦]

0B20          ; Orya; Mlym; L #      (ଠ)  ORIYA LETTER TTHA
0B66          ; Orya; Mlym; L #      (୦)  ORIYA DIGIT ZERO

# Total code points: 2

# Oriya; Tifinagh: [ଠ୦]

0B20          ; Orya; Tfng; L #      (ଠ)  ORIYA LETTER TTHA
0B66          ; Orya; Tfng; L #      (୦)  ORIYA DIGIT ZERO

# Total code points: 2

# Sinhala; Armenian: [ං]

0D82          ; Sinh; Armn; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Sinhala; Bengali: [ඃ]

0D83          ; Sinh; Beng; L #      (ඃ)  SINHALA SIGN VISARGAYA

# Total code points: 1

# Sinhala; Cyrillic: [ං]

0D82          ; Sinh; Cyrl; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Sinhala; Devanagari: [ං]

0D82          ; Sinh; Deva; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Sinhala; Greek: [ං]

0D82          ; Sinh; Grek; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Sinhala; Gujarati: [ං]

0D82          ; Sinh; Gujr; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Sinhala; Gurmukhi: [ංඃ]

0D82..0D83    ; Sinh; Guru; L #  [2] (ං..ඃ)  SINHALA SIGN ANUSVARAYA..SINHALA SIGN VISARGAYA

# Total code points: 2

# Sinhala; Hebrew: [ං]

0D82          ; Sinh; Hebr; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Sinhala; Kannada: [ංඃ]

0D82..0D83    ; Sinh; Knda; L #  [2] (ං..ඃ)  SINHALA SIGN ANUSVARAYA..SINHALA SIGN VISARGAYA

# Total code points: 2

# Sinhala; Lao: [ං]

0D82          ; Sinh; Laoo; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Sinhala; Latin: [ං]

0D82          ; Sinh; Latn; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Sinhala; Malayalam: [ංඃඌ]

0D82..0D83    ; Sinh; Mlym; L #  [2] (ං..ඃ)  SINHALA SIGN ANUSVARAYA..SINHALA SIGN VISARGAYA
0D8C          ; Sinh; Mlym; L #      (ඌ)  SINHALA LETTER UUYANNA

# Total code points: 3

# Sinhala; Myanmar: [ංඃ]

0D82..0D83    ; Sinh; Mymr; L #  [2] (ං..ඃ)  SINHALA SIGN ANUSVARAYA..SINHALA SIGN VISARGAYA

# Total code points: 2

# Sinhala; Tamil: [ං]

0D82          ; Sinh; Taml; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Sinhala; Telugu: [ංඃ]

0D82..0D83    ; Sinh; Telu; L #  [2] (ං..ඃ)  SINHALA SIGN ANUSVARAYA..SINHALA SIGN VISARGAYA

# Total code points: 2

# Sinhala; Thai: [ං]

0D82          ; Sinh; Thai; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Tamil; Armenian: [௦]

0BE6          ; Taml; Armn; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 1

# Tamil; Cyrillic: [௦]

0BE6          ; Taml; Cyrl; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 1

# Tamil; Devanagari: [்௦]

0BCD          ; Taml; Deva; L #      (்)  TAMIL SIGN VIRAMA
0BE6          ; Taml; Deva; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 2

# Tamil; Greek: [௦]

0BE6          ; Taml; Grek; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 1

# Tamil; Gujarati: [்௦]

0BCD          ; Taml; Gujr; L #      (்)  TAMIL SIGN VIRAMA
0BE6          ; Taml; Gujr; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 2

# Tamil; Gurmukhi: [்௦]

0BCD          ; Taml; Guru; L #      (்)  TAMIL SIGN VIRAMA
0BE6          ; Taml; Guru; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 2

# Tamil; Hebrew: [௦]

0BE6          ; Taml; Hebr; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 1

# Tamil; Kannada: [௦]

0BE6          ; Taml; Knda; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 1

# Tamil; Khmer: [ஂ]

0B82          ; Taml; Khmr; L #      (ஂ)  TAMIL SIGN ANUSVARA

# Total code points: 1

# Tamil; Lao: [ஂ௦]

0B82          ; Taml; Laoo; L #      (ஂ)  TAMIL SIGN ANUSVARA
0BE6          ; Taml; Laoo; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 2

# Tamil; Latin: [௦]

0BE6          ; Taml; Latn; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 1

# Tamil; Malayalam: [உஐஜணழஶி௦௨]

0B89          ; Taml; Mlym; L #      (உ)  TAMIL LETTER U
0B90          ; Taml; Mlym; L #      (ஐ)  TAMIL LETTER AI
0B9C          ; Taml; Mlym; L #      (ஜ)  TAMIL LETTER JA
0BA3          ; Taml; Mlym; L #      (ண)  TAMIL LETTER NNA
0BB4          ; Taml; Mlym; L #      (ழ)  TAMIL LETTER LLLA
0BB6          ; Taml; Mlym; L #      (ஶ)  TAMIL LETTER SHA
0BBF          ; Taml; Mlym; L #      (ி)  TAMIL VOWEL SIGN I
0BE6          ; Taml; Mlym; L #      (௦)  TAMIL DIGIT ZERO
0BE8          ; Taml; Mlym; L #      (௨)  TAMIL DIGIT TWO

# Total code points: 9

# Tamil; Myanmar: [ஂ௦]

0B82          ; Taml; Mymr; L #      (ஂ)  TAMIL SIGN ANUSVARA
0BE6          ; Taml; Mymr; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 2

# Tamil; Sinhala: [௦]

0BE6          ; Taml; Sinh; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 1

# Tamil; Telugu: [௦]

0BE6          ; Taml; Telu; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 1

# Tamil; Thai: [ஂ௦]

0B82          ; Taml; Thai; L #      (ஂ)  TAMIL SIGN ANUSVARA
0BE6          ; Taml; Thai; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 2

# Telugu; Armenian: [ం౦]

0C02          ; Telu; Armn; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Armn; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Bengali: [ః]

0C03          ; Telu; Beng; L #      (ః)  TELUGU SIGN VISARGA

# Total code points: 1

# Telugu; Cyrillic: [ం౦]

0C02          ; Telu; Cyrl; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Cyrl; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Devanagari: [ం౦]

0C02          ; Telu; Deva; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Deva; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Greek: [ం౦]

0C02          ; Telu; Grek; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Grek; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Gujarati: [ం౦]

0C02          ; Telu; Gujr; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Gujr; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Gurmukhi: [ంః౦]

0C02..0C03    ; Telu; Guru; L #  [2] (ం..ః)  TELUGU SIGN ANUSVARA..TELUGU SIGN VISARGA
0C66          ; Telu; Guru; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 3

# Telugu; Hebrew: [ం౦]

0C02          ; Telu; Hebr; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Hebr; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Kannada: [ంఃఅ-ఇఒ-ఔజఞణయఱలౌౕ౦-౨౯]

0C02..0C03    ; Telu; Knda; L #  [2] (ం..ః)  TELUGU SIGN ANUSVARA..TELUGU SIGN VISARGA
0C05..0C07    ; Telu; Knda; L #  [3] (అ..ఇ)  TELUGU LETTER A..TELUGU LETTER I
0C12..0C14    ; Telu; Knda; L #  [3] (ఒ..ఔ)  TELUGU LETTER O..TELUGU LETTER AU
0C1C          ; Telu; Knda; L #      (జ)  TELUGU LETTER JA
0C1E          ; Telu; Knda; L #      (ఞ)  TELUGU LETTER NYA
0C23          ; Telu; Knda; L #      (ణ)  TELUGU LETTER NNA
0C2F          ; Telu; Knda; L #      (య)  TELUGU LETTER YA
0C31..0C32    ; Telu; Knda; L #  [2] (ఱ..ల)  TELUGU LETTER RRA..TELUGU LETTER LA
0C4C          ; Telu; Knda; L #      (ౌ)  TELUGU VOWEL SIGN AU
0C55          ; Telu; Knda; L #      (ౕ)  TELUGU LENGTH MARK
0C66..0C68    ; Telu; Knda; L #  [3] (౦..౨)  TELUGU DIGIT ZERO..TELUGU DIGIT TWO
0C6F          ; Telu; Knda; L #      (౯)  TELUGU DIGIT NINE

# Total code points: 20

# Telugu; Lao: [ం౦]

0C02          ; Telu; Laoo; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Laoo; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Latin: [ం౦]

0C02          ; Telu; Latn; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Latn; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Malayalam: [ంః౦]

0C02..0C03    ; Telu; Mlym; L #  [2] (ం..ః)  TELUGU SIGN ANUSVARA..TELUGU SIGN VISARGA
0C66          ; Telu; Mlym; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 3

# Telugu; Myanmar: [ంః౦]

0C02..0C03    ; Telu; Mymr; L #  [2] (ం..ః)  TELUGU SIGN ANUSVARA..TELUGU SIGN VISARGA
0C66          ; Telu; Mymr; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 3

# Telugu; Sinhala: [ంః౦]

0C02..0C03    ; Telu; Sinh; L #  [2] (ం..ః)  TELUGU SIGN ANUSVARA..TELUGU SIGN VISARGA
0C66          ; Telu; Sinh; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 3

# Telugu; Tamil: [ం౦]

0C02          ; Telu; Taml; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Taml; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Thai: [ం౦]

0C02          ; Telu; Thai; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Thai; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Thai; Armenian: [๐]

0E50          ; Thai; Armn; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Cyrillic: [๐]

0E50          ; Thai; Cyrl; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Devanagari: [๐]

0E50          ; Thai; Deva; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Greek: [๐]

0E50          ; Thai; Grek; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Gujarati: [๐]

0E50          ; Thai; Gujr; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Gurmukhi: [๐]

0E50          ; Thai; Guru; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Hebrew: [๐]

0E50          ; Thai; Hebr; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Kannada: [๐]

0E50          ; Thai; Knda; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Khmer: [ิ-ืํ]

0E34..0E37    ; Thai; Khmr; L #  [4] (ิ..ื)  THAI CHARACTER SARA I..THAI CHARACTER SARA UEE
0E4D          ; Thai; Khmr; L #      (ํ)  THAI CHARACTER NIKHAHIT

# Total code points: 5

# Thai; Lao: [จบปฝ-ฟยุู่-๋ํ๐]

0E08          ; Thai; Laoo; L #      (จ)  THAI CHARACTER CHO CHAN
0E1A..0E1B    ; Thai; Laoo; L #  [2] (บ..ป)  THAI CHARACTER BO BAIMAI..THAI CHARACTER PO PLA
0E1D..0E1F    ; Thai; Laoo; L #  [3] (ฝ..ฟ)  THAI CHARACTER FO FA..THAI CHARACTER FO FAN
0E22          ; Thai; Laoo; L #      (ย)  THAI CHARACTER YO YAK
0E38..0E39    ; Thai; Laoo; L #  [2] (ุ..ู)  THAI CHARACTER SARA U..THAI CHARACTER SARA UU
0E48..0E4B    ; Thai; Laoo; L #  [4] (่..๋)  THAI CHARACTER MAI EK..THAI CHARACTER MAI CHATTAWA
0E4D          ; Thai; Laoo; L #      (ํ)  THAI CHARACTER NIKHAHIT
0E50          ; Thai; Laoo; L #      (๐)  THAI DIGIT ZERO

# Total code points: 15

# Thai; Latin: [๐]

0E50          ; Thai; Latn; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Malayalam: [๐]

0E50          ; Thai; Mlym; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Myanmar: [ํ๐]

0E4D          ; Thai; Mymr; L #      (ํ)  THAI CHARACTER NIKHAHIT
0E50          ; Thai; Mymr; L #      (๐)  THAI DIGIT ZERO

# Total code points: 2

# Thai; Sinhala: [๐]

0E50          ; Thai; Sinh; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Tamil: [ํ๐]

0E4D          ; Thai; Taml; L #      (ํ)  THAI CHARACTER NIKHAHIT
0E50          ; Thai; Taml; L #      (๐)  THAI DIGIT ZERO

# Total code points: 2

# Thai; Telugu: [๐]

0E50          ; Thai; Telu; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Canadian_Aboriginal; Armenian: [ᕷ]

1577          ; Cans; Armn; L #      (ᕷ)  CANADIAN SYLLABICS NUNAVIK HO

# Total code points: 1

# Canadian_Aboriginal; Cyrillic: [ᐧᑭᑯᑶᑷᑺᑻᕁᕽᖯ]

1427          ; Cans; Cyrl; L #      (ᐧ)  CANADIAN SYLLABICS FINAL MIDDLE DOT
146D          ; Cans; Cyrl; L #      (ᑭ)  CANADIAN SYLLABICS KI
146F          ; Cans; Cyrl; L #      (ᑯ)  CANADIAN SYLLABICS KO
1476..1477    ; Cans; Cyrl; L #  [2] (ᑶ..ᑷ)  CANADIAN SYLLABICS KWI..CANADIAN SYLLABICS WEST-CREE KWI
147A..147B    ; Cans; Cyrl; L #  [2] (ᑺ..ᑻ)  CANADIAN SYLLABICS KWO..CANADIAN SYLLABICS WEST-CREE KWO
1541          ; Cans; Cyrl; L #      (ᕁ)  CANADIAN SYLLABICS SAYISI YI
157D          ; Cans; Cyrl; L #      (ᕽ)  CANADIAN SYLLABICS HK
15AF          ; Cans; Cyrl; L #      (ᖯ)  CANADIAN SYLLABICS AIVILIK B

# Total code points: 10

# Canadian_Aboriginal; Greek: [ᐧᑭᑶᑷᕷ]

1427          ; Cans; Grek; L #      (ᐧ)  CANADIAN SYLLABICS FINAL MIDDLE DOT
146D          ; Cans; Grek; L #      (ᑭ)  CANADIAN SYLLABICS KI
1476..1477    ; Cans; Grek; L #  [2] (ᑶ..ᑷ)  CANADIAN SYLLABICS KWI..CANADIAN SYLLABICS WEST-CREE KWI
1577          ; Cans; Grek; L #      (ᕷ)  CANADIAN SYLLABICS NUNAVIK HO

# Total code points: 5

# Canadian_Aboriginal; Hebrew: [ᐧᒪᒶᒷᔯᔰ]

1427          ; Cans; Hebr; L #      (ᐧ)  CANADIAN SYLLABICS FINAL MIDDLE DOT
14AA          ; Cans; Hebr; L #      (ᒪ)  CANADIAN SYLLABICS MA
14B6..14B7    ; Cans; Hebr; L #  [2] (ᒶ..ᒷ)  CANADIAN SYLLABICS MWA..CANADIAN SYLLABICS WEST-CREE MWA
152F..1530    ; Cans; Hebr; L #  [2] (ᔯ..ᔰ)  CANADIAN SYLLABICS YWE..CANADIAN SYLLABICS WEST-CREE YWE

# Total code points: 6

# Canadian_Aboriginal; Latin: [ᐧᑭᑯᑶᑷᑺᑻᒪᒶᒷᔯᔰᕁᕽᖯ]

1427          ; Cans; Latn; L #      (ᐧ)  CANADIAN SYLLABICS FINAL MIDDLE DOT
146D          ; Cans; Latn; L #      (ᑭ)  CANADIAN SYLLABICS KI
146F          ; Cans; Latn; L #      (ᑯ)  CANADIAN SYLLABICS KO
1476..1477    ; Cans; Latn; L #  [2] (ᑶ..ᑷ)  CANADIAN SYLLABICS KWI..CANADIAN SYLLABICS WEST-CREE KWI
147A..147B    ; Cans; Latn; L #  [2] (ᑺ..ᑻ)  CANADIAN SYLLABICS KWO..CANADIAN SYLLABICS WEST-CREE KWO
14AA          ; Cans; Latn; L #      (ᒪ)  CANADIAN SYLLABICS MA
